Round,Date,Team 1,Team 2,FT
2,1895,Manchester United,Newcastle United,02-Jan
2,1895,Notts County,Newcastle United,0-1
2,1895,Port Vale,Newcastle United,2-0
2,1895,Rotherham Town,Newcastle United,01-Jan
2,1895,Arsenal,Notts County,2-0
2,1895,Burton Swifts,Notts County,0-0
2,1895,Burton Wanderers,Notts County,01-Mar
2,1895,Crewe Alexandra,Notts County,05-Jan
2,1895,Darwen,Notts County,2-0
2,1895,Grimsby Town,Notts County,3-0
2,1895,Leicester City,Notts County,02-Jan
2,1895,Lincoln City,Notts County,02-Mar
2,1895,Liverpool,Notts County,3-0
2,1895,Loughborough,Notts County,01-Mar
2,1895,Manchester City,Notts County,2-0
2,1895,Manchester United,Notts County,3-0
2,1895,Newcastle United,Notts County,05-Jan
2,1895,Port Vale,Notts County,0-4
2,1895,Rotherham Town,Notts County,1-0
2,1895,Arsenal,Port Vale,02-Jan
2,1895,Burton Swifts,Port Vale,02-Jan
2,1895,Burton Wanderers,Port Vale,02-Jan
2,1895,Crewe Alexandra,Port Vale,03-Feb
2,1895,Darwen,Port Vale,08-Feb
2,1895,Grimsby Town,Port Vale,06-Jan
2,1895,Leicester City,Port Vale,5-0
2,1895,Lincoln City,Port Vale,04-Feb
2,1895,Liverpool,Port Vale,05-Jan
2,1895,Loughborough,Port Vale,3-0
2,1895,Manchester City,Port Vale,1-0
2,1895,Manchester United,Port Vale,02-Jan
2,1895,Newcastle United,Port Vale,04-Feb
2,1895,Notts County,Port Vale,07-Feb
2,1895,Rotherham Town,Port Vale,0-2
2,1895,Arsenal,Rotherham Town,5-0
2,1895,Burton Swifts,Rotherham Town,2-0
2,1895,Burton Wanderers,Rotherham Town,06-Jan
2,1895,Crewe Alexandra,Rotherham Town,03-Feb
2,1895,Darwen,Rotherham Town,10-Feb
2,1895,Grimsby Town,Rotherham Town,4-0
2,1895,Leicester City,Rotherham Town,8-0
2,1895,Lincoln City,Rotherham Town,5-0
2,1895,Liverpool,Rotherham Town,10-Jan
2,1895,Loughborough,Rotherham Town,3-0
2,1895,Manchester City,Rotherham Town,2-0
2,1895,Manchester United,Rotherham Town,3-0
2,1895,Newcastle United,Rotherham Town,06-Jan
2,1895,Notts County,Rotherham Town,0-0
2,1895,Port Vale,Rotherham Town,4-0
1,1896,Blackburn Rovers,Aston Villa,01-May
1,1896,Bolton Wanderers,Aston Villa,01-Feb
1,1896,Burnley,Aston Villa,03-Apr
1,1896,Bury,Aston Villa,0-2
1,1896,Derby County,Aston Villa,01-Mar
1,1896,Everton,Aston Villa,02-Mar
1,1896,Liverpool,Aston Villa,03-Mar
1,1896,Nottingham Forest,Aston Villa,02-Apr
1,1896,Preston North End,Aston Villa,0-1
1,1896,Sheffield United,Aston Villa,0-0
1,1896,Sheffield Wednesday,Aston Villa,01-Mar
1,1896,Stoke City,Aston Villa,0-2
1,1896,Sunderland,Aston Villa,04-Feb
1,1896,West Bromwich Albion,Aston Villa,03-Jan
1,1896,Wolverhampton Wanderers,Aston Villa,01-Feb
1,1896,Aston Villa,Blackburn Rovers,3-0
1,1896,Bolton Wanderers,Blackburn Rovers,0-0
1,1896,Burnley,Blackburn Rovers,0-1
1,1896,Bury,Blackburn Rovers,3-0
1,1896,Derby County,Blackburn Rovers,6-0
1,1896,Everton,Blackburn Rovers,0-3
1,1896,Liverpool,Blackburn Rovers,4-0
1,1896,Nottingham Forest,Blackburn Rovers,02-Jan
1,1896,Preston North End,Blackburn Rovers,03-Jan
1,1896,Sheffield United,Blackburn Rovers,7-0
1,1896,Sheffield Wednesday,Blackburn Rovers,6-0
1,1896,Stoke City,Blackburn Rovers,1-0
1,1896,Sunderland,Blackburn Rovers,0-1
1,1896,West Bromwich Albion,Blackburn Rovers,1-0
1,1896,Wolverhampton Wanderers,Blackburn Rovers,01-Jan
1,1896,Aston Villa,Bolton Wanderers,06-Feb
1,1896,Blackburn Rovers,Bolton Wanderers,1-0
1,1896,Burnley,Bolton Wanderers,0-2
1,1896,Bury,Bolton Wanderers,02-Feb
1,1896,Derby County,Bolton Wanderers,1-0
1,1896,Everton,Bolton Wanderers,02-Mar
1,1896,Liverpool,Bolton Wanderers,0-2
1,1896,Nottingham Forest,Bolton Wanderers,2-0
1,1896,Preston North End,Bolton Wanderers,02-Mar
1,1896,Sheffield United,Bolton Wanderers,1-0
1,1896,Sheffield Wednesday,Bolton Wanderers,0-0
1,1896,Stoke City,Bolton Wanderers,02-Mar
1,1896,Sunderland,Bolton Wanderers,01-Jan
1,1896,West Bromwich Albion,Bolton Wanderers,1-0
1,1896,Wolverhampton Wanderers,Bolton Wanderers,4-0
1,1896,Aston Villa,Burnley,0-3
1,1896,Blackburn Rovers,Burnley,03-Feb
1,1896,Bolton Wanderers,Burnley,02-Jan
1,1896,Bury,Burnley,01-Jan
1,1896,Derby County,Burnley,03-Feb
1,1896,Everton,Burnley,6-0
1,1896,Liverpool,Burnley,01-Feb
1,1896,Nottingham Forest,Burnley,04-Jan
1,1896,Preston North End,Burnley,05-Mar
1,1896,Sheffield United,Burnley,1-0
1,1896,Sheffield Wednesday,Burnley,1-0
1,1896,Stoke City,Burnley,03-Feb
1,1896,Sunderland,Burnley,01-Jan
1,1896,West Bromwich Albion,Burnley,3-0
1,1896,Wolverhampton Wanderers,Burnley,2-0
1,1896,Aston Villa,Bury,01-Jan
1,1896,Blackburn Rovers,Bury,01-Feb
1,1896,Bolton Wanderers,Bury,2-0
1,1896,Burnley,Bury,1-0
1,1896,Derby County,Bury,07-Feb
1,1896,Everton,Bury,01-Feb
1,1896,Liverpool,Bury,03-Jan
1,1896,Nottingham Forest,Bury,3-0
1,1896,Preston North End,Bury,02-Feb
1,1896,Sheffield United,Bury,02-Feb
1,1896,Sheffield Wednesday,Bury,2-0
1,1896,Stoke City,Bury,3-0
1,1896,Sunderland,Bury,0-1
1,1896,West Bromwich Albion,Bury,0-0
1,1896,Wolverhampton Wanderers,Bury,01-Jan
1,1896,Aston Villa,Derby County,02-Jan
1,1896,Blackburn Rovers,Derby County,05-Feb
1,1896,Bolton Wanderers,Derby County,01-Mar
1,1896,Burnley,Derby County,02-Mar
1,1896,Bury,Derby County,1-0
1,1896,Everton,Derby County,05-Feb
1,1896,Liverpool,Derby County,2-0
1,1896,Nottingham Forest,Derby County,01-Feb
1,1896,Preston North End,Derby County,0-2
1,1896,Sheffield United,Derby County,02-Feb
1,1896,Sheffield Wednesday,Derby County,2-0
1,1896,Stoke City,Derby County,02-Feb
1,1896,Sunderland,Derby County,01-Feb
1,1896,West Bromwich Albion,Derby County,01-Apr
1,1896,Wolverhampton Wanderers,Derby County,1-0
1,1896,Aston Villa,Everton,01-Feb
1,1896,Blackburn Rovers,Everton,04-Feb
1,1896,Bolton Wanderers,Everton,2-0
1,1896,Burnley,Everton,02-Jan
1,1896,Bury,Everton,03-Jan
1,1896,Derby County,Everton,0-1
1,1896,Liverpool,Everton,0-0
1,1896,Nottingham Forest,Everton,3-0
1,1896,Preston North End,Everton,04-Jan
1,1896,Sheffield United,Everton,01-Feb
1,1896,Sheffield Wednesday,Everton,04-Jan
1,1896,Stoke City,Everton,02-Mar
1,1896,Sunderland,Everton,01-Jan
1,1896,West Bromwich Albion,Everton,01-Apr
1,1896,Wolverhampton Wanderers,Everton,0-1
1,1896,Aston Villa,Liverpool,0-0
1,1896,Blackburn Rovers,Liverpool,1-0
1,1896,Bolton Wanderers,Liverpool,01-Apr
1,1896,Burnley,Liverpool,04-Jan
1,1896,Bury,Liverpool,01-Feb
1,1896,Derby County,Liverpool,03-Feb
1,1896,Everton,Liverpool,02-Jan
1,1896,Nottingham Forest,Liverpool,2-0
1,1896,Preston North End,Liverpool,01-Jan
1,1896,Sheffield United,Liverpool,01-Jan
1,1896,Sheffield Wednesday,Liverpool,01-Feb
1,1896,Stoke City,Liverpool,06-Jan
1,1896,Sunderland,Liverpool,04-Mar
1,1896,West Bromwich Albion,Liverpool,0-1
1,1896,Wolverhampton Wanderers,Liverpool,01-Feb
1,1896,Aston Villa,Nottingham Forest,03-Feb
1,1896,Blackburn Rovers,Nottingham Forest,0-0
1,1896,Bolton Wanderers,Nottingham Forest,0-0
1,1896,Burnley,Nottingham Forest,02-Feb
1,1896,Bury,Nottingham Forest,2-0
1,1896,Derby County,Nottingham Forest,01-Jan
1,1896,Everton,Nottingham Forest,03-Jan
1,1896,Liverpool,Nottingham Forest,3-0
1,1896,Preston North End,Nottingham Forest,03-Feb
1,1896,Sheffield United,Nottingham Forest,0-3
1,1896,Sheffield Wednesday,Nottingham Forest,3-0
1,1896,Stoke City,Nottingham Forest,3-0
1,1896,Sunderland,Nottingham Forest,02-Feb
1,1896,West Bromwich Albion,Nottingham Forest,4-0
1,1896,Wolverhampton Wanderers,Nottingham Forest,04-Jan
1,1896,Aston Villa,Preston North End,03-Jan
1,1896,Blackburn Rovers,Preston North End,0-4
1,1896,Bolton Wanderers,Preston North End,03-Jan
1,1896,Burnley,Preston North End,02-Feb
1,1896,Bury,Preston North End,0-0
1,1896,Derby County,Preston North End,02-Feb
1,1896,Everton,Preston North End,03-Apr
1,1896,Liverpool,Preston North End,0-0
1,1896,Nottingham Forest,Preston North End,0-0
1,1896,Sheffield United,Preston North End,0-2
1,1896,Sheffield Wednesday,Preston North End,1-0
1,1896,Stoke City,Preston North End,02-Jan
1,1896,Sunderland,Preston North End,01-Jan
1,1896,West Bromwich Albion,Preston North End,01-Jan
1,1896,Wolverhampton Wanderers,Preston North End,01-Jan
1,1896,Aston Villa,Sheffield United,02-Feb
1,1896,Blackburn Rovers,Sheffield United,01-Mar
1,1896,Bolton Wanderers,Sheffield United,0-2
1,1896,Burnley,Sheffield United,01-Jan
1,1896,Bury,Sheffield United,0-1
1,1896,Derby County,Sheffield United,01-Mar
1,1896,Everton,Sheffield United,01-Feb
1,1896,Liverpool,Sheffield United,0-0
1,1896,Nottingham Forest,Sheffield United,02-Feb
1,1896,Preston North End,Sheffield United,1-0
1,1896,Sheffield Wednesday,Sheffield United,01-Jan
1,1896,Stoke City,Sheffield United,2-0
1,1896,Sunderland,Sheffield United,0-1
1,1896,West Bromwich Albion,Sheffield United,0-1
1,1896,Wolverhampton Wanderers,Sheffield United,01-Jan
1,1896,Aston Villa,Sheffield Wednesday,4-0
1,1896,Blackburn Rovers,Sheffield Wednesday,4-0
1,1896,Bolton Wanderers,Sheffield Wednesday,02-Jan
1,1896,Burnley,Sheffield Wednesday,01-Jan
1,1896,Bury,Sheffield Wednesday,01-Jan
1,1896,Derby County,Sheffield Wednesday,02-Jan
1,1896,Everton,Sheffield Wednesday,02-Jan
1,1896,Liverpool,Sheffield Wednesday,02-Feb
1,1896,Nottingham Forest,Sheffield Wednesday,02-Feb
1,1896,Preston North End,Sheffield Wednesday,02-Feb
1,1896,Sheffield United,Sheffield Wednesday,2-0
1,1896,Stoke City,Sheffield Wednesday,0-0
1,1896,Sunderland,Sheffield Wednesday,0-0
1,1896,West Bromwich Albion,Sheffield Wednesday,0-2
1,1896,Wolverhampton Wanderers,Sheffield Wednesday,2-0
1,1896,Aston Villa,Stoke City,02-Jan
1,1896,Blackburn Rovers,Stoke City,02-Jan
1,1896,Bolton Wanderers,Stoke City,4-0
1,1896,Burnley,Stoke City,01-Mar
1,1896,Bury,Stoke City,04-Feb
1,1896,Derby County,Stoke City,05-Jan
1,1896,Everton,Stoke City,04-Feb
1,1896,Liverpool,Stoke City,1-0
1,1896,Nottingham Forest,Stoke City,4-0
1,1896,Preston North End,Stoke City,3-0
1,1896,Sheffield United,Stoke City,1-0
1,1896,Sheffield Wednesday,Stoke City,04-Mar
1,1896,Sunderland,Stoke City,04-Jan
1,1896,West Bromwich Albion,Stoke City,01-Feb
1,1896,Wolverhampton Wanderers,Stoke City,01-Feb
1,1896,Aston Villa,Sunderland,02-Jan
1,1896,Blackburn Rovers,Sunderland,01-Feb
1,1896,Bolton Wanderers,Sunderland,1-0
1,1896,Burnley,Sunderland,01-Jan
1,1896,Bury,Sunderland,01-Jan
1,1896,Derby County,Sunderland,1-0
1,1896,Everton,Sunderland,05-Feb
1,1896,Liverpool,Sunderland,3-0
1,1896,Nottingham Forest,Sunderland,02-Jan
1,1896,Preston North End,Sunderland,05-Mar
1,1896,Sheffield United,Sunderland,3-0
1,1896,Sheffield Wednesday,Sunderland,0-0
1,1896,Stoke City,Sunderland,0-1
1,1896,West Bromwich Albion,Sunderland,1-0
1,1896,Wolverhampton Wanderers,Sunderland,0-1
1,1896,Aston Villa,West Bromwich Albion,2-0
1,1896,Blackburn Rovers,West Bromwich Albion,01-Feb
1,1896,Bolton Wanderers,West Bromwich Albion,02-Feb
1,1896,Burnley,West Bromwich Albion,5-0
1,1896,Bury,West Bromwich Albion,3-0
1,1896,Derby County,West Bromwich Albion,08-Jan
1,1896,Everton,West Bromwich Albion,06-Mar
1,1896,Liverpool,West Bromwich Albion,0-0
1,1896,Nottingham Forest,West Bromwich Albion,0-1
1,1896,Preston North End,West Bromwich Albion,0-0
1,1896,Sheffield United,West Bromwich Albion,0-1
1,1896,Sheffield Wednesday,West Bromwich Albion,03-Jan
1,1896,Stoke City,West Bromwich Albion,02-Feb
1,1896,Sunderland,West Bromwich Albion,02-Jan
1,1896,Wolverhampton Wanderers,West Bromwich Albion,06-Jan
1,1896,Aston Villa,Wolverhampton Wanderers,5-0
1,1896,Blackburn Rovers,Wolverhampton Wanderers,2-0
1,1896,Bolton Wanderers,Wolverhampton Wanderers,01-Feb
1,1896,Burnley,Wolverhampton Wanderers,0-3
1,1896,Bury,Wolverhampton Wanderers,03-Feb
1,1896,Derby County,Wolverhampton Wanderers,04-Mar
1,1896,Everton,Wolverhampton Wanderers,0-0
1,1896,Liverpool,Wolverhampton Wanderers,3-0
1,1896,Nottingham Forest,Wolverhampton Wanderers,01-Feb
1,1896,Preston North End,Wolverhampton Wanderers,4-0
1,1896,Sheffield United,Wolverhampton Wanderers,01-Mar
1,1896,Sheffield Wednesday,Wolverhampton Wanderers,0-0
1,1896,Stoke City,Wolverhampton Wanderers,02-Jan
1,1896,Sunderland,Wolverhampton Wanderers,0-3
1,1896,West Bromwich Albion,Wolverhampton Wanderers,1-0
2,1896,Birmingham City,Arsenal,05-Feb
2,1896,Blackpool,Arsenal,01-Jan
2,1896,Burton Swifts,Arsenal,01-Feb
2,1896,Burton Wanderers,Arsenal,0-3
2,1896,Darwen,Arsenal,04-Jan
2,1896,Gainsborough Trinity,Arsenal,04-Jan
2,1896,Grimsby Town,Arsenal,03-Jan
2,1896,Leicester City,Arsenal,06-Mar
2,1896,Lincoln City,Arsenal,02-Mar
2,1896,Loughborough,Arsenal,8-0
2,1896,Manchester City,Arsenal,01-Jan
2,1896,Manchester United,Arsenal,01-Jan
2,1896,Newcastle United,Arsenal,2-0
2,1896,Notts County,Arsenal,07-Apr
2,1896,Walsall,Arsenal,05-Mar
2,1896,Arsenal,Birmingham City,02-Mar
2,1896,Blackpool,Birmingham City,01-Mar
2,1896,Burton Swifts,Birmingham City,01-Jan
2,1896,Burton Wanderers,Birmingham City,02-Jun
2,1896,Darwen,Birmingham City,2-0
2,1896,Gainsborough Trinity,Birmingham City,01-Mar
2,1896,Grimsby Town,Birmingham City,02-Jan
2,1896,Leicester City,Birmingham City,0-1
2,1896,Lincoln City,Birmingham City,01-Mar
2,1896,Loughborough,Birmingham City,2-0
2,1896,Manchester City,Birmingham City,3-0
2,1896,Manchester United,Birmingham City,01-Jan
2,1896,Newcastle United,Birmingham City,04-Mar
2,1896,Notts County,Birmingham City,01-Feb
2,1896,Walsall,Birmingham City,01-Jun
2,1896,Arsenal,Blackpool,04-Feb
2,1896,Birmingham City,Blackpool,01-Mar
2,1896,Burton Swifts,Blackpool,2-0
2,1896,Burton Wanderers,Blackpool,03-Jan
2,1896,Darwen,Blackpool,02-Mar
2,1896,Gainsborough Trinity,Blackpool,2-0
2,1896,Grimsby Town,Blackpool,02-Feb
2,1896,Leicester City,Blackpool,02-Jan
2,1896,Lincoln City,Blackpool,03-Jan
2,1896,Loughborough,Blackpool,04-Jan
2,1896,Manchester City,Blackpool,04-Feb
2,1896,Manchester United,Blackpool,2-0
2,1896,Newcastle United,Blackpool,04-Jan
2,1896,Notts County,Blackpool,03-Jan
2,1896,Walsall,Blackpool,02-Feb
2,1896,Arsenal,Burton Swifts,3-0
2,1896,Birmingham City,Burton Swifts,01-Feb
2,1896,Blackpool,Burton Swifts,3-0
2,1896,Burton Wanderers,Burton Swifts,1-0
2,1896,Darwen,Burton Swifts,05-Jan
2,1896,Gainsborough Trinity,Burton Swifts,04-Jan
2,1896,Grimsby Town,Burton Swifts,3-0
2,1896,Leicester City,Burton Swifts,3-0
2,1896,Lincoln City,Burton Swifts,01-Jan
2,1896,Loughborough,Burton Swifts,0-2
2,1896,Manchester City,Burton Swifts,03-Jan
2,1896,Manchester United,Burton Swifts,01-Jan
2,1896,Newcastle United,Burton Swifts,02-Jan
2,1896,Notts County,Burton Swifts,06-Jan
2,1896,Walsall,Burton Swifts,05-Feb
2,1896,Arsenal,Burton Wanderers,3-0
2,1896,Birmingham City,Burton Wanderers,03-Feb
2,1896,Blackpool,Burton Wanderers,5-0
2,1896,Burton Swifts,Burton Wanderers,01-Jan
2,1896,Darwen,Burton Wanderers,3-0
2,1896,Gainsborough Trinity,Burton Wanderers,02-Jan
2,1896,Grimsby Town,Burton Wanderers,3-0
2,1896,Leicester City,Burton Wanderers,02-Jan
2,1896,Lincoln City,Burton Wanderers,02-Mar
2,1896,Loughborough,Burton Wanderers,6-0
2,1896,Manchester City,Burton Wanderers,02-Jan
2,1896,Manchester United,Burton Wanderers,3-0
2,1896,Newcastle United,Burton Wanderers,3-0
2,1896,Notts County,Burton Wanderers,5-0
2,1896,Walsall,Burton Wanderers,2-0
2,1896,Arsenal,Darwen,1-0
2,1896,Birmingham City,Darwen,05-Jan
2,1896,Blackpool,Darwen,1-0
2,1896,Burton Swifts,Darwen,2-0
2,1896,Burton Wanderers,Darwen,1-0
2,1896,Gainsborough Trinity,Darwen,02-Apr
2,1896,Grimsby Town,Darwen,04-Feb
2,1896,Leicester City,Darwen,04-Jan
2,1896,Lincoln City,Darwen,1-0
2,1896,Loughborough,Darwen,04-Feb
2,1896,Manchester City,Darwen,04-Jan
2,1896,Manchester United,Darwen,03-Jan
2,1896,Newcastle United,Darwen,05-Jan
2,1896,Notts County,Darwen,4-0
2,1896,Walsall,Darwen,4-0
2,1896,Arsenal,Gainsborough Trinity,06-Jan
2,1896,Birmingham City,Gainsborough Trinity,02-Feb
2,1896,Blackpool,Gainsborough Trinity,01-Jan
2,1896,Burton Swifts,Gainsborough Trinity,4-0
2,1896,Burton Wanderers,Gainsborough Trinity,03-Feb
2,1896,Darwen,Gainsborough Trinity,03-Feb
2,1896,Grimsby Town,Gainsborough Trinity,01-Jan
2,1896,Leicester City,Gainsborough Trinity,0-0
2,1896,Lincoln City,Gainsborough Trinity,0-2
2,1896,Loughborough,Gainsborough Trinity,1-0
2,1896,Manchester City,Gainsborough Trinity,04-Jan
2,1896,Manchester United,Gainsborough Trinity,2-0
2,1896,Newcastle United,Gainsborough Trinity,01-Feb
2,1896,Notts County,Gainsborough Trinity,2-0
2,1896,Walsall,Gainsborough Trinity,01-Jan
2,1896,Arsenal,Grimsby Town,04-Feb
2,1896,Birmingham City,Grimsby Town,0-1
2,1896,Blackpool,Grimsby Town,1-0
2,1896,Burton Swifts,Grimsby Town,0-0
2,1896,Burton Wanderers,Grimsby Town,05-Jan
2,1896,Darwen,Grimsby Town,03-Jan
2,1896,Gainsborough Trinity,Grimsby Town,01-Jan
2,1896,Leicester City,Grimsby Town,04-Feb
2,1896,Lincoln City,Grimsby Town,0-3
2,1896,Loughborough,Grimsby Town,01-Apr
2,1896,Manchester City,Grimsby Town,03-Jan
2,1896,Manchester United,Grimsby Town,04-Feb
2,1896,Newcastle United,Grimsby Town,3-0
2,1896,Notts County,Grimsby Town,01-Mar
2,1896,Walsall,Grimsby Town,0-1
2,1896,Arsenal,Leicester City,02-Jan
2,1896,Birmingham City,Leicester City,02-Feb
2,1896,Blackpool,Leicester City,3-0
2,1896,Burton Swifts,Leicester City,02-Jan
2,1896,Burton Wanderers,Leicester City,02-Jan
2,1896,Darwen,Leicester City,04-Jan
2,1896,Gainsborough Trinity,Leicester City,0-2
2,1896,Grimsby Town,Leicester City,04-Jan
2,1896,Lincoln City,Leicester City,02-Jan
2,1896,Loughborough,Leicester City,0-2
2,1896,Manchester City,Leicester City,4-0
2,1896,Manchester United,Leicester City,02-Jan
2,1896,Newcastle United,Leicester City,03-Jan
2,1896,Notts County,Leicester City,6-0
2,1896,Walsall,Leicester City,01-Jan
2,1896,Arsenal,Lincoln City,06-Feb
2,1896,Birmingham City,Lincoln City,01-Feb
2,1896,Blackpool,Lincoln City,03-Jan
2,1896,Burton Swifts,Lincoln City,4-0
2,1896,Burton Wanderers,Lincoln City,2-0
2,1896,Darwen,Lincoln City,04-Jan
2,1896,Gainsborough Trinity,Lincoln City,7-0
2,1896,Grimsby Town,Lincoln City,03-Jan
2,1896,Leicester City,Lincoln City,04-Jan
2,1896,Loughborough,Lincoln City,3-0
2,1896,Manchester City,Lincoln City,3-0
2,1896,Manchester United,Lincoln City,03-Jan
2,1896,Newcastle United,Lincoln City,02-Jan
2,1896,Notts County,Lincoln City,8-0
2,1896,Walsall,Lincoln City,5-0
2,1896,Arsenal,Loughborough,2-0
2,1896,Birmingham City,Loughborough,3-0
2,1896,Blackpool,Loughborough,04-Jan
2,1896,Burton Swifts,Loughborough,03-Jan
2,1896,Burton Wanderers,Loughborough,0-1
2,1896,Darwen,Loughborough,05-Jan
2,1896,Gainsborough Trinity,Loughborough,2-0
2,1896,Grimsby Town,Loughborough,08-Jan
2,1896,Leicester City,Loughborough,04-Feb
2,1896,Lincoln City,Loughborough,0-2
2,1896,Manchester City,Loughborough,01-Jan
2,1896,Manchester United,Loughborough,6-0
2,1896,Newcastle United,Loughborough,04-Jan
2,1896,Notts County,Loughborough,03-Jan
2,1896,Walsall,Loughborough,05-Jan
2,1896,Arsenal,Manchester City,01-Feb
2,1896,Birmingham City,Manchester City,03-Jan
2,1896,Blackpool,Manchester City,02-Feb
2,1896,Burton Swifts,Manchester City,5-0
2,1896,Burton Wanderers,Manchester City,01-Jan
2,1896,Darwen,Manchester City,03-Jan
2,1896,Gainsborough Trinity,Manchester City,01-Jan
2,1896,Grimsby Town,Manchester City,03-Jan
2,1896,Leicester City,Manchester City,03-Mar
2,1896,Lincoln City,Manchester City,0-1
2,1896,Loughborough,Manchester City,2-0
2,1896,Manchester United,Manchester City,02-Jan
2,1896,Newcastle United,Manchester City,3-0
2,1896,Notts County,Manchester City,03-Mar
2,1896,Walsall,Manchester City,03-Feb
2,1896,Arsenal,Manchester United,0-2
2,1896,Birmingham City,Manchester United,1-0
2,1896,Blackpool,Manchester United,04-Feb
2,1896,Burton Swifts,Manchester United,03-May
2,1896,Burton Wanderers,Manchester United,01-Feb
2,1896,Darwen,Manchester United,0-2
2,1896,Gainsborough Trinity,Manchester United,2-0
2,1896,Grimsby Town,Manchester United,2-0
2,1896,Leicester City,Manchester United,1-0
2,1896,Lincoln City,Manchester United,01-Mar
2,1896,Loughborough,Manchester United,2-0
2,1896,Manchester City,Manchester United,0-0
2,1896,Newcastle United,Manchester United,2-0
2,1896,Notts County,Manchester United,3-0
2,1896,Walsall,Manchester United,02-Mar
2,1896,Arsenal,Newcastle United,05-Jan
2,1896,Birmingham City,Newcastle United,03-Jan
2,1896,Blackpool,Newcastle United,04-Jan
2,1896,Burton Swifts,Newcastle United,3-0
2,1896,Burton Wanderers,Newcastle United,0-1
2,1896,Darwen,Newcastle United,02-Jan
2,1896,Gainsborough Trinity,Newcastle United,2-0
2,1896,Grimsby Town,Newcastle United,03-Feb
2,1896,Leicester City,Newcastle United,5-0
2,1896,Lincoln City,Newcastle United,01-Feb
2,1896,Loughborough,Newcastle United,3-0
2,1896,Manchester City,Newcastle United,01-Feb
2,1896,Manchester United,Newcastle United,4-0
2,1896,Notts County,Newcastle United,03-Jan
2,1896,Walsall,Newcastle United,0-2
2,1896,Arsenal,Notts County,02-Mar
2,1896,Birmingham City,Notts County,03-Jan
2,1896,Blackpool,Notts County,03-Feb
2,1896,Burton Swifts,Notts County,01-Apr
2,1896,Burton Wanderers,Notts County,0-3
2,1896,Darwen,Notts County,02-Jan
2,1896,Gainsborough Trinity,Notts County,03-Feb
2,1896,Grimsby Town,Notts County,03-Jan
2,1896,Leicester City,Notts County,02-Mar
2,1896,Lincoln City,Notts County,01-Jan
2,1896,Loughborough,Notts County,0-1
2,1896,Manchester City,Notts County,01-Apr
2,1896,Manchester United,Notts County,01-Jan
2,1896,Newcastle United,Notts County,02-Feb
2,1896,Walsall,Notts County,01-Mar
2,1896,Arsenal,Walsall,01-Jan
2,1896,Birmingham City,Walsall,03-Mar
2,1896,Blackpool,Walsall,03-Feb
2,1896,Burton Swifts,Walsall,01-Mar
2,1896,Burton Wanderers,Walsall,1-0
2,1896,Darwen,Walsall,12-0
2,1896,Gainsborough Trinity,Walsall,2-0
2,1896,Grimsby Town,Walsall,0-1
2,1896,Leicester City,Walsall,04-Jan
2,1896,Lincoln City,Walsall,02-Jan
2,1896,Loughborough,Walsall,01-Feb
2,1896,Manchester City,Walsall,5-0
2,1896,Manchester United,Walsall,2-0
2,1896,Newcastle United,Walsall,2-0
2,1896,Notts County,Walsall,05-Feb
1,1897,Blackburn Rovers,Aston Villa,04-Mar
1,1897,Bolton Wanderers,Aston Villa,2-0
1,1897,Bury,Aston Villa,01-Feb
1,1897,Derby County,Aston Villa,03-Jan
1,1897,Everton,Aston Villa,02-Jan
1,1897,Liverpool,Aston Villa,4-0
1,1897,Nottingham Forest,Aston Villa,03-Jan
1,1897,Notts County,Aston Villa,02-Mar
1,1897,Preston North End,Aston Villa,03-Jan
1,1897,Sheffield United,Aston Villa,1-0
1,1897,Sheffield Wednesday,Aston Villa,3-0
1,1897,Stoke City,Aston Villa,0-0
1,1897,Sunderland,Aston Villa,0-0
1,1897,West Bromwich Albion,Aston Villa,01-Jan
1,1897,Wolverhampton Wanderers,Aston Villa,01-Jan
1,1897,Aston Villa,Blackburn Rovers,05-Jan
1,1897,Bolton Wanderers,Blackburn Rovers,01-Feb
1,1897,Bury,Blackburn Rovers,1-0
1,1897,Derby County,Blackburn Rovers,03-Jan
1,1897,Everton,Blackburn Rovers,01-Jan
1,1897,Liverpool,Blackburn Rovers,0-1
1,1897,Nottingham Forest,Blackburn Rovers,03-Jan
1,1897,Notts County,Blackburn Rovers,0-0
1,1897,Preston North End,Blackburn Rovers,01-Apr
1,1897,Sheffield United,Blackburn Rovers,05-Feb
1,1897,Sheffield Wednesday,Blackburn Rovers,04-Jan
1,1897,Stoke City,Blackburn Rovers,02-Jan
1,1897,Sunderland,Blackburn Rovers,02-Jan
1,1897,West Bromwich Albion,Blackburn Rovers,01-Jan
1,1897,Wolverhampton Wanderers,Blackburn Rovers,03-Feb
1,1897,Aston Villa,Bolton Wanderers,03-Feb
1,1897,Blackburn Rovers,Bolton Wanderers,01-Mar
1,1897,Bury,Bolton Wanderers,02-Jan
1,1897,Derby County,Bolton Wanderers,1-0
1,1897,Everton,Bolton Wanderers,02-Jan
1,1897,Liverpool,Bolton Wanderers,01-Jan
1,1897,Nottingham Forest,Bolton Wanderers,2-0
1,1897,Notts County,Bolton Wanderers,01-Feb
1,1897,Preston North End,Bolton Wanderers,0-0
1,1897,Sheffield United,Bolton Wanderers,4-0
1,1897,Sheffield Wednesday,Bolton Wanderers,3-0
1,1897,Stoke City,Bolton Wanderers,2-0
1,1897,Sunderland,Bolton Wanderers,2-0
1,1897,West Bromwich Albion,Bolton Wanderers,2-0
