Round,Date,Team 1,Team 2,FT
1,1890,Preston North End,West Bromwich Albion,3-0
1,1890,Sunderland,West Bromwich Albion,01-Jan
1,1890,Wolverhampton Wanderers,West Bromwich Albion,4-0
1,1890,Accrington F.C.,Wolverhampton Wanderers,01-Feb
1,1890,Aston Villa,Wolverhampton Wanderers,06-Feb
1,1890,Blackburn Rovers,Wolverhampton Wanderers,02-Mar
1,1890,Bolton Wanderers,Wolverhampton Wanderers,6-0
1,1890,Burnley,Wolverhampton Wanderers,04-Feb
1,1890,Derby County,Wolverhampton Wanderers,9-0
1,1890,Everton,Wolverhampton Wanderers,5-0
1,1890,Notts County,Wolverhampton Wanderers,01-Jan
1,1890,Preston North End,Wolverhampton Wanderers,05-Jan
1,1890,Sunderland,Wolverhampton Wanderers,03-Apr
1,1890,West Bromwich Albion,Wolverhampton Wanderers,0-1
1,1891,Aston Villa,Accrington F.C.,12-Feb
1,1891,Blackburn Rovers,Accrington F.C.,02-Feb
1,1891,Bolton Wanderers,Accrington F.C.,03-Apr
1,1891,Burnley,Accrington F.C.,02-Jan
1,1891,Darwen,Accrington F.C.,05-Feb
1,1891,Derby County,Accrington F.C.,03-Jan
1,1891,Everton,Accrington F.C.,3-0
1,1891,Notts County,Accrington F.C.,9-0
1,1891,Preston North End,Accrington F.C.,04-Jan
1,1891,Stoke City,Accrington F.C.,03-Jan
1,1891,Sunderland,Accrington F.C.,04-Jan
1,1891,West Bromwich Albion,Accrington F.C.,03-Jan
1,1891,Wolverhampton Wanderers,Accrington F.C.,5-0
1,1891,Accrington F.C.,Aston Villa,03-Feb
1,1891,Blackburn Rovers,Aston Villa,04-Mar
1,1891,Bolton Wanderers,Aston Villa,01-Feb
1,1891,Burnley,Aston Villa,04-Jan
1,1891,Darwen,Aston Villa,01-May
1,1891,Derby County,Aston Villa,04-Feb
1,1891,Everton,Aston Villa,05-Jan
1,1891,Notts County,Aston Villa,05-Feb
1,1891,Preston North End,Aston Villa,0-1
1,1891,Stoke City,Aston Villa,02-Mar
1,1891,Sunderland,Aston Villa,02-Jan
1,1891,West Bromwich Albion,Aston Villa,0-3
1,1891,Wolverhampton Wanderers,Aston Villa,2-0
1,1891,Accrington F.C.,Blackburn Rovers,1-0
1,1891,Aston Villa,Blackburn Rovers,05-Jan
1,1891,Bolton Wanderers,Blackburn Rovers,04-Feb
1,1891,Burnley,Blackburn Rovers,3-0
1,1891,Darwen,Blackburn Rovers,03-May
1,1891,Derby County,Blackburn Rovers,01-Jan
1,1891,Everton,Blackburn Rovers,03-Jan
1,1891,Notts County,Blackburn Rovers,02-Feb
1,1891,Preston North End,Blackburn Rovers,03-Feb
1,1891,Stoke City,Blackburn Rovers,0-1
1,1891,Sunderland,Blackburn Rovers,06-Jan
